zip_code,Studio,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
15644,900,970,1160,1480,1590
15646,860,920,1100,1400,1510
15647,930,990,1190,1520,1630
15650,890,950,1140,1450,1570
15655,840,870,1030,1350,1450
15656,790,860,1070,1360,1510
15658,830,890,1070,1360,1470
15660,890,950,1140,1460,1570
15661,890,950,1140,1450,1570
15662,880,940,1130,1440,1550
15663,730,780,930,1190,1280
15664,860,920,1100,1400,1510
15665,920,980,1180,1510,1620
15666,800,850,1020,1300,1400
15668,1360,1460,1750,2230,2400
15670,900,970,1160,1480,1590
15671,760,820,970,1260,1370
15672,1000,1070,1280,1630,1760
15674,800,850,1020,1300,1400
15675,910,980,1170,1490,1610
15676,890,950,1140,1450,1570
15677,820,850,1000,1310,1420
15678,950,1020,1220,1560,1680
15679,880,940,1130,1440,1550
15680,740,800,980,1250,1370
15681,900,990,1150,1510,1680
15683,710,760,910,1160,1250
15684,920,1000,1180,1530,1680
15685,860,920,1100,1400,1510
15687,790,830,980,1280,1380
15688,880,940,1130,1440,1550
15689,870,930,1120,1420,1530
15690,730,790,980,1250,1380
15691,930,990,1190,1520,1630
15692,860,920,1100,1400,1510
15693,890,950,1140,1450,1570
15695,830,880,1060,1360,1460
15696,900,960,1150,1470,1580
15697,810,870,1040,1330,1430
15698,830,880,1060,1350,1460
15717,720,790,910,1210,1360
15779,730,790,920,1210,1330
15923,710,760,910,1160,1250
15944,820,880,1040,1350,1480
15954,720,790,910,1210,1340
16001,910,980,1170,1490,1610
16002,760,810,970,1240,1330
16003,980,1050,1260,1610,1730
16020,880,940,1130,1440,1550
16022,920,980,1180,1500,1620
16023,1080,1160,1390,1770,1910
16024,1170,1250,1500,1910,2060
16025,760,820,990,1260,1370
16027,1290,1390,1660,2120,2280
16029,860,920,1100,1400,1510
16030,720,770,920,1170,1260
16033,1050,1120,1340,1710,1840
16034,1010,1080,1290,1640,1770
16035,870,940,1140,1460,1590
16037,1150,1230,1480,1900,2050
