Name,Type,Price,Neighborhood,Address,Latitude,Longitude,Bedrooms,Bathrooms,Sq. Footage,Rent Period,Laundry,Parking,Link to Listing
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/pittsburgh-lovely-2br-townhouse-in/7791684007.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bedroom-house-section-ok/7791682959.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/pittsburgh-spacious-two-bedroom-in/7791682303.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/coraopolis-charming-bedroom-house-for/7791682291.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/bridgeville-located-in-bridgeville/7791680089.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/pittsburgh-530-euclid-pittsburgh-pa/7791680572.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/pittsburgh-move-in-br-nr-frick-prk-on/7791674656.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/pittsburgh-brookline-apartment-first/7791675080.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/south-heights-bedroom-bathroom/7791679583.html
blocked,House,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://pittsburgh.craigslist.org/apa/d/pittsburgh-spacious-end-unit-townhouse/7791677516.html
